module_sort_order,title,content,video_url,sort_order
4,Matching lights to your vessel,"What lights you need to show depends on your vessel's length and whether it's under power or sail. As a rough guide: motor boats under 7 metres travelling at 7 knots or less need a visible all-round white light and, if possible, sidelights. Motor boats under 12 metres need sidelights plus either an all-round white light, or a masthead light and stern light. Larger vessels (12–20 metres) need a masthead light with separate or combined sidelights and stern light.

Sailing boats underway under sail show sidelights and a stern light (combined or separate depending on size); if motoring, they must show the same lights as a motor boat. A sailing boat under 7 metres, or one being rowed, that can't carry proper lights should at least have an electric torch or lantern ready to show a white light in time to prevent a collision.

At anchor, vessels under 50 metres show a single all-round white light, positioned so it can be seen from every direction; vessels over 50 metres show two all-round white lights, with the forward one higher than the aft one. If you're anchored in a busy area or overnight, showing extra lights (like deck lights) and keeping a proper watch is good practice on top of the minimum requirement.",,2
4,"How far your lights must reach, and protecting your night vision","Every navigation light has a minimum range it must be visible from, based on your vessel's length — this is what lets other skippers judge how far away you are and react in good time. As a rough guide: on a vessel under 12 metres, your masthead light must be visible from at least 2 nautical miles, and your sidelights, stern light, towing light and any all-round lights from at least 1 to 2 nautical miles. On vessels from 12 up to 50 metres, most of these ranges step up to around 2–3 nautical miles, and the masthead light needs at least 3 nautical miles once you're 12 metres or more. Vessels 50 metres and over need greater range again across the board. The takeaway for a recreational skipper: don't assume a dim aftermarket light is good enough — check it's actually rated for the distance your vessel needs.

Night vision itself is worth understanding too. Rhodopsin is the light-sensitive molecule in your eyes that lets you see in the dark, and it bleaches out almost instantly when hit with a bright white light — full recovery can take the better part of an hour (roughly 10 minutes to get back 10 per cent of your night vision, 30–45 minutes for 80 per cent, and longer again for the rest). That's why experienced boaties use red light at the helm and chart table at night: it lets you read instruments without wrecking the night vision you need to actually see the water and other vessels.

Speed limits can also tighten after dark in specific high-traffic areas — for example, the general open-water speed limit on Perth's Swan and Canning rivers drops to 10 knots between sunset and sunrise. Always check local signage and charts for any area you're operating in after dark, since unlit hazards combined with reduced visibility make night boating inherently riskier.",,3
4,"Exact placement rules, and lights for sailing vessels","Where you mount your lights matters as much as which lights you carry. On a vessel using a masthead light, it must sit at least 2.5 metres above the gunwale, and if you're also carrying combined sidelights, they need to sit at least 1 metre below the masthead light. This vertical separation helps other skippers read your lights correctly from a distance rather than seeing a confusing cluster.

Sailing vessels have their own combinations, since a boat under sail alone isn't held to the same rules as one under power (though a sailing boat running its motor must show the same lights as any other motor boat of its size). A sailing vessel under 7 metres, or one being rowed, can use the same options as larger sailing boats — a combined lantern near the top of the mast, or separate sidelights and a stern light — but if it genuinely can't carry those, it must at least have an electric torch or lantern ready, showing a white light in time to prevent a collision. Sailing vessels from 7 up to 20 metres show either a combined lantern at or near the masthead (incorporating sidelights and stern light in one fitting) or separate sidelights and a stern light. Sailing vessels over 20 metres must use separate sidelights and a stern light — a combined lantern isn't an option at that size.

There's also an optional extra for sailing vessels with separate (not combined) sidelights and a stern light: they may carry two additional all-round lights in a vertical line near the top of the mast, with the upper light red and the lower light green. These aren't compulsory, but they help other vessels identify you as a sailing vessel from a distance, which matters most in mixed commercial and recreational traffic.",,4
5,Lateral marks: reading channels,"The IALA buoyage system uses distinctive shapes, colours and light rhythms so you can tell at a glance what a navigation mark is warning you about. Lateral marks show you the port and starboard sides of a channel: red, can-shaped marks are port marks, and green, triangular marks are starboard marks.

The rule for using them depends on your direction of travel. Entering harbours or heading upstream, keep port marks on your port (left) side and starboard marks on your starboard (right) side — a simple way to say this is ""green to green, heading in"": keep the green marks on your green (starboard) side as you come in from the sea. Leaving harbours or heading downstream, it's reversed. If lit, port marks show red lights and starboard marks show green lights — the only marks that use those colours.

A couple of old memory tricks are worth knowing, because they stick. ""There's no red port left in the glass"" plays on the drink: port wine is red, and red is port, which is left. And if you're ever unsure which pair goes together, the word with more letters in it goes with the word with more letters: ""green"" and ""right""/""starboard"" are the longer words, ""red"", ""left"" and ""port"" are the shorter ones.

Isolated danger marks indicate a specific hazard with safe water all around it — pass well clear on any side. Their black body with a red band is a handy colour combination to remember precisely because it looks a bit like a redback spider — black with a red marking, and definitely something to stay well clear of. If lit, they show a white light flashing in groups of two, matching the two black spheres on top of the mark. Safe water marks indicate exactly that — safe water all around, often used to mark the seaward end of a channel — and if lit, show a white light, often using the Morse ""A"" rhythm.",,1
5,Cardinal marks: pass on the named side,"Cardinal marks tell you which compass direction the safe water lies in, relative to a hazard — so you pass to the north of a North cardinal mark, the east of an East cardinal mark, and so on. Having a compass on board makes these genuinely useful rather than just decorative.

The black and yellow colour bands and the black cone-shaped topmarks follow a logical pattern: North has both cones pointing up, black at the top; South has both pointing down, black at the bottom; East has the cones pointing away from each other (up and down), black at the top and bottom; West has the cones pointing towards each other, black in the middle — picture an hourglass shape, pinched in the centre, and you've got West.

Lit cardinal marks roughly follow a clock face: continuous flashing for North (12 o'clock), three flashes for East (3 o'clock), six flashes plus one long flash for South (6 o'clock), and nine flashes for West (9 o'clock). The extra long flash on South and the continuous flash on North exist specifically so you don't lose count in the dark.",,2
5,"Special marks, leads and sectored lights","Special marks indicate a feature rather than a hazard to route around — things like traffic separation zones, spoil grounds, or aquaculture leases. They're yellow, often with a yellow ""X"" topmark, and if lit, show a yellow light in a rhythm not used by cardinal, isolated danger or safe water marks.

Leads are pairs of marks that, when you line them up one directly above the other, show you the safe course through a shallow or hazardous stretch of water — commonly used for approaches to anchorages. You steer to keep the rear mark directly above the front one; if they separate, you've drifted off the safe line and need to correct back.

Sectored lights work on a similar principle using colour instead of alignment: a single light shows different colours across different arcs, typically white for the safe channel and red or green for the areas to avoid. If the light you're steering by shifts from white to red or green, you need to adjust course back into the white sector — and always check the chart for exactly what a sectored light means, since the details vary by location.",,3
5,Reading light rhythms: how marks 'blink' at night,"Every lit navigation mark flashes in a specific rhythm, and learning to read that rhythm is often faster than trying to make out a mark's colour or shape in the dark. A Fixed light simply stays on continuously. A Flashing light is on for less time than it's off, with each flash roughly equal in length; a Long Flashing light is the same idea but each flash lasts at least two seconds. A Group Flashing light repeats a specific number of flashes together — say, three flashes, a pause, then three flashes again — and the number in the group is often meaningful, as with cardinal marks. Composite Group Flashing combines two different flash-groups into one repeating pattern, and is deliberately kept away from ordinary lateral marks so it isn't confused with genuine group-flashing marks.

Quick Flashing and Very Quick Flashing are exactly what they sound like — a continuous rapid flash, at 50 to 60 times a minute for Quick and 100 to 120 times a minute for Very Quick. Occulting is the reverse of flashing: the light is on for longer than it's off, with brief, regular dark eclipses. Isophase lights spend exactly equal time lit and dark. Morse lights spell out a letter in Morse code using short and long flashes — the Morse ""A"" rhythm (short-long) turns up on some safe water marks.

These rhythms aren't random — each type of mark is restricted to certain ones, so you can often narrow down what you're looking at before you even check the chart. Lateral marks (port and starboard) may use their red or green light in any rhythm except Composite Group Flashing. Safe water marks, if lit, use Isophase, Occulting, a Long Flash roughly every 10 seconds, or the Morse ""A"" rhythm. Special marks show a yellow light in any rhythm not already used by cardinal, isolated danger or safe water marks. Leads, if lit, may use any colour at all — the chart will tell you exactly what to expect for a given pair.",,4
6,"Engine, electrical and fuel care","Poor motor maintenance alone accounts for a huge share of the calls marine rescue groups respond to each year — most breakdowns are preventable with a bit of routine attention. Have your motor serviced by a specialist at least once a year even if you barely use it, since a proper service catches things like water pump wear that you won't notice yourself. If you use your motor hard, get the gearbox oil changed every three months.

Electrical systems most often fail through corrosion, so keep terminals and connectors clean, spray them with a corrosion-retardant, and check your navigation lights work even if you only ever plan to be out in daylight. Batteries deserve regular attention too: use a genuine marine battery suited to your motor, keep it secured in a ventilated container, keep terminals clean and tight, and top up cells with distilled water where applicable.

Fuel is a major fire and breakdown risk. Regularly inspect fuel tanks, valves, pumps and lines for corrosion and leaks, and do a ""sniff test"" every time you board — if you smell fuel, find the problem before you start the motor. Keep tanks topped up and closed when not in use to reduce condensation, and replace fuel that's been sitting for a long period, since water tends to build up in old fuel.",,1
6,A simple maintenance routine,"A good routine covers four timeframes: pre-trip, post-trip, monthly and yearly. Before every trip, check the vessel for obvious flaws, check engine oil and coolant levels, make sure the bilges are dry, and test the steering. After every trip, flush the engine with fresh water, inspect for rubbish or stray metal items (especially in aluminium boats, where it can cause corrosion), and protect fuel tanks and lines from the elements.

Monthly checks are a good time to look over safety gear for deterioration, check flares and EVDS are in date, and test any bilge pump. Yearly, service the motor as the manufacturer recommends (or sooner if needed), replace gearbox oil, check anodes for erosion, and inspect through-hull fittings, hoses and clamps for corrosion or wear.

Propellers deserve their own check: carry a spare if you can, keep the prop clean and free of dings, and pull it off periodically to check for wrapped fishing line — line caught around the shaft can destroy the gearbox seal and let water in, eventually wrecking the gearbox.",,2
7,"What you need to carry, and lifejackets","What safety equipment you must carry depends on where you operate (protected waters — rivers, lakes, estuaries and within 400 metres of shore — versus unprotected waters beyond that) and whether your vessel is registrable. The requirements are a minimum, though — it's on you as skipper to judge whether extra equipment is needed for your trip.

Whatever you carry, you need to actually know where it's stowed, how to use it, and when it expires. Keep gear accessible (not locked away in a cupboard), stow flares in a dry, waterproof, accessible spot, and check expiry dates regularly — flares, EPIRBs, PLBs, EVDS, fire extinguishers and inflatable lifejackets all have dates that matter.

Lifejackets must be AS 4758 or ISO 12402 approved and suited to the wearer's weight. Level 100-and-above jackets are required on registrable vessels and give the highest buoyancy, with head and neck support and a face-up floating position. Level 50 and 50S jackets are approved for non-registrable vessels, PWCs and sailboards, but don't have head and neck support. Wearing requirements (not just carrying) apply in specific situations — smaller vessels, children under 12, and anyone on a PWC — so check the wearing table for your vessel and waters. Practise putting a lifejacket on in the dark and in the water occasionally: it's harder than you'd think.",,1
7,"Flares, EVDS and distress beacons","If you operate in unprotected waters (beyond 400 metres from shore), you must carry visual distress signals: either two hand-held red flares plus two hand-held orange flares, or an electronic visual distress signal (EVDS) carried instead, provided you also carry a GPS-enabled EPIRB or PLB. Orange smoke flares are day-only and burn about 60 seconds; red hand-held flares work day or night and burn about 45 seconds with a sighting range of several kilometres at night; EVDS units last far longer (around 20 hours) but are only meant to help rescuers home in once they're already close to an EPIRB or PLB signal.

A distress beacon — a GPS-enabled EPIRB or PLB — is required beyond 400 metres from shore. EPIRBs are designed to float and operate for at least 48 hours; PLBs must be worn by a person on board and operate for a minimum of 24 hours. Both must be registered with AMSA (free and simple online), and you should be able to show proof of registration if asked. If either is accidentally activated, turn it off immediately and notify AMSA, WA Water Police, or your local marine rescue group.

Never use a flare or beacon except in a genuine emergency — false distress signals carry severe penalties and can tie up rescue resources needed elsewhere.",,2
7,Marine radios and making a distress call,"A marine radio is essential safety equipment, and it's required if you go more than 4 nautical miles from shore in unprotected waters — a mobile phone is a useful backup but cannot replace it, partly because other vessels can't hear a phone call and partly because a radio is far easier for search and rescue to locate. VHF is the most common choice: the emergency and calling channel is 16, with channel 67 as a supplementary distress channel.

There are three levels of urgency in radio calls. ""Mayday"" is used only when a vessel is in grave and imminent danger and needs immediate assistance — state your position, your problem, and the number of people on board (the ""3 Ps""), repeating until answered. ""Pan Pan"" is used when the situation is urgent but not immediately life-threatening — a mechanical breakdown or a medical issue, for example. ""Securite"" (say-cure-i-tay) is used to broadcast an important safety or navigational warning, not a personal emergency.

Logging on and off with a marine rescue group, or telling a responsible person your plans, is genuinely one of the most important safety habits you can build — it's serious enough that it's tested in the practical assessment. Give them the vessel's details, your departure time and location, destination, trip intentions, number of people aboard, fuel carried, and your estimated time of return — then make sure you actually contact them again when you're back, so a search doesn't get triggered unnecessarily.",,3
7,"Bailers, fire extinguishers and anchors","A bailer or bilge pump isn't legally required, but it's recommended for every vessel — even a bucket with two metres of rope attached is a genuinely useful piece of safety gear, for bailing and for fighting small fires. If you fit an electric bilge pump, it should have an indicator showing when it's running, and its intake should be protected by a strainer to stop it clogging.

Fire extinguishers aren't mandatory either, but they're recommended for any vessel with an inboard engine or cooking, heating or cooling equipment that uses flame. Dry powder is the most common all-round type. Check the extinguisher's gauge is in the green, and give a dry powder extinguisher an occasional shake to stop the powder compacting inside.

An anchor and enough line to suit the depths you operate in is also recommended. The choice of anchor design is up to you (Danforth, plough, admiralty pattern and others all have their strengths), but the rule of thumb for how much line to pay out — the ""scope"" — is at least five times the water depth in calm conditions, more like seven to nine times in fresh or moderate conditions. Anchoring is prohibited in channels, near submarine cables, and is discouraged in mooring areas where you could foul other vessels' ground tackle.",,4
8,"Trip planning: vessel, fuel and crew","Good planning starts before you leave the ramp. Make sure your vessel is actually suitable for the trip you have in mind — not every hull, size and design is meant for open, exposed water — and run through your usual pre-trip motor checks.

Fuel planning follows a simple rule: carry about 50% more fuel than you expect to use, split as 25% for the trip out, 25% for the return, and 50% held in reserve. Work out your vessel's fuel consumption in litres per hour by dividing litres used by hours run on a typical trip, then multiply that rate by your planned voyage time to get a baseline figure — then add the safety margin on top.

Passengers and crew need consideration too: has everyone been on this kind of trip before, is it appropriate for their age, is anyone prone to seasickness, and does anyone have a medical condition you should know about? Give everyone a safety briefing covering what to do in an emergency, what safety equipment is carried, where it's stowed, and how it works. Pack for the conditions — it's always colder on the water than it looks from shore — and carry more fresh water than you think you'll need, since dehydration compounds every other problem.",,1
8,Stability and loading your vessel,"Stability is how readily your vessel returns upright after being pushed over by wind, waves or shifting weight. The key concept is the centre of gravity (G) — the balance point of the vessel, its load and crew combined. Move weight up (say, people climbing onto a flybridge) and G rises, making the vessel more ""tender"" — slow to return upright and more prone to capsizing. Move weight down and G drops, making the vessel ""stiffer"" and more stable, though a very stiff vessel can also be an uncomfortable, jerky ride.

Warning signs of an unstable vessel include a long, slow roll and reluctance to return upright — different from a list, which is simply leaning because weight is unevenly distributed on one side. If you notice these signs, the fix is to lower G by moving weight down and, ideally, reducing total load.

Correct loading matters just as much: keep your total load within the vessel's rated capacity (check the Australian Builders Plate if fitted), stow heavy items low and evenly, and secure anything that could shift — loose scuba cylinders, for example, are heavy enough to cause real damage if they roll around. Water sloshing around inside the hull (free surface effect) can also seriously undermine stability, out of proportion to how much water is actually there, so keep bilges dry.

For vessels without an ABP or capacity guide, a rough rule is: 2 people for vessels under 3 metres, rising to about 7 people for a 5.5–6 metre vessel — adjusted down in poor conditions or when carrying more gear.",,2
8,"Weather, tides and reading the conditions","Before any trip, the Bureau of Meteorology recommends five checks: current warnings for your area, conditions affecting navigation and comfort, wind trends, wave conditions, and the timing of the next high and low tide. The Bureau's website and MarineLite pages are the most current sources; VHF channels 16 and 67, and various HF frequencies, carry scheduled broadcasts too.

Learn to read a synoptic (weather map) chart in broad strokes: isobars packed close together mean stronger wind, and systems rotate clockwise around lows and anti-clockwise around highs in the southern hemisphere. Watch for squalls (sudden wind increases, often with a direction change, that die away again) and gusts (brief spikes 30–40% above the average). Strong wind warnings cover 25–33 knots, gale warnings 34–47 knots, and storm warnings 48 knots or more — no vessel should be at sea within several hundred nautical miles of a cyclone.

Out on the water, keep watching for signs the forecast might be wrong: dropping temperature, a rising swell, cloud building up, a falling barometer, or a wind shift. If conditions turn, have a backup plan — moving inside a river, reef or island system rather than pushing on outside — and don't hesitate to put lifejackets on early if things are deteriorating.

Tides matter for both navigation and simply getting your boat off the ramp, especially in areas with a big tidal range. Chart depths are measured from ""chart datum"" — roughly the lowest water level the tide is likely to fall to — so your actual depth at any time is the charted depth plus the tide height at that moment. Strong or prolonged wind, and low or high pressure systems, can also push the actual tide away from the predicted figures.",,3
9,"Capsize, sinking and grounding","Capsizing is a leading cause of boating deaths, and it's usually driven by a combination of factors: overloading or poor load distribution, broaching in a following sea, free surface effect from water sloshing in the hull, poor driving technique, being caught by breaking waves near a reef, or wind and waves pushing from one side while people are, say, hauling craypots.

If your vessel capsizes, the priority is safety, not the boat. If you can, right the vessel and bail it out — genuinely difficult with a larger boat — but if you can't, get as much of everyone as possible up onto the hull rather than staying in the water, which helps conserve body heat. Stay with the vessel; it's far easier to spot from the air or from a rescuing vessel than a person alone in the water, and don't attempt to swim ashore unless it's very close and clearly safe to land.

Most trailer boats have flotation and rarely sink outright, but larger vessels without flotation can go down quickly, so keep essentials — lifejackets, an emergency kit — quickly accessible. Before abandoning a sinking vessel, try to send a Mayday and activate your EPIRB, and don't remove clothing — if anything, put more on.

Running aground is common and usually avoidable. If it happens, check on your passengers first, then assess the damage: is the vessel leaking, and if it's outboard or stern-drive powered, can you lift the leg to check the propeller? The best prevention is simply knowing your planned route, using a chart, understanding what the navigation marks mean, and slowing down whenever you're unsure of your position or a mark's identity.",,1
9,Fire and breakdown,"Fire prevention beats firefighting every time. LP gas and petrol fires are especially dangerous because they're essentially explosions rather than ordinary fires. The most common causes are overheated galley equipment, faulty wiring, poor engine-room housekeeping (rags near hot exhaust components), leaking fuel or gas lines, and poor refuelling technique — which is exactly why the refuelling precautions in the Rules and Regulations module matter.

If a fire does start: raise the alarm and do a head count, make a radio call or use your EPIRB/PLB if needed, get someone in charge of the safety gear, close off any enclosed space to starve the fire of air, cut fuel and gas lines, and fight the fire with an extinguisher, fire blanket, water buckets, or by throwing burning items overboard if that's genuinely the safest option. Keep watching the area even after a fire appears out — they can restart.

Breakdowns are far more often the motor simply refusing to start than anything failing mid-run. A basic troubleshooting routine covers the kill switch, fuel supply, air vents, fuel lines, priming bulb, choke, carburettor air intake, cranking speed and battery connections, spark plugs and fuses. If you can't get the motor going again, anchor if you can to hold your position bow-into-the-sea, and call marine rescue — a breakdown alone isn't normally a Mayday or Pan Pan situation unless you're drifting into danger.",,2
9,"First aid, seasickness and hypothermia","A vessel brings together knives, fishing gear, marine stingers and engine spaces — plenty of ways to get hurt — so a first aid course and a well-stocked, waterproof, clearly marked first aid kit are worth having. Seasickness is best managed preventatively: take any regular medication on time, avoid greasy food and alcohol before and during the trip, sit low and near the stern (the most stable part of the vessel), and stay in the open air. If it strikes anyway, getting underway again often helps more than sitting still, and keep sipping water to avoid dehydration.

Hypothermia is a serious, life-threatening drop in core body temperature, made worse and faster by cold water immersion and wet clothing. Watch for a drowsy, cold-to-touch presentation, a faint or slow pulse, shallow breathing, confusion or slurred speech, and dilated pupils.

If someone is in the water, getting them out — or at least partly out, by climbing onto a capsized hull — helps enormously, since a lifejacket alone only slows heat loss. Two positions help conserve heat while waiting for rescue: HELP (Heat Escape Lessening Position), where an individual draws their legs up and arms in tight to the chest; and the Huddle, where a group clusters together, chest to chest, arms around each other.

Treating hypothermia means preventing further heat loss and gradually rewarming: get the person out of the cold, protect them from wind, remove wet clothing if practical, and warm them with dry blankets or skin-to-skin contact — focusing on the head, neck, chest and groin rather than rubbing or massaging the limbs. Don't give alcohol, don't let them walk around, and get medical help as soon as you can.",,3
10,What to expect on assessment day,"The practical assessment is done on the water with an approved RST assessor and takes around 30 minutes, though it can run longer if several people are being assessed together. You'll skipper the vessel while the assessor watches and gives you directions — dock here, simulate a man overboard there — but you're still the skipper throughout, so if you believe a manoeuvre the assessor suggests is unsafe, you should not attempt it.

You need to successfully demonstrate at least 56 of the 62 assessment criteria — six or fewer wrong is a pass. If you fail to demonstrate more than six criteria, the assessment stops and you'll need to book another attempt on another day. At any point, unsafe skippering that puts the vessel, passengers or other water users at immediate risk results in instant failure.

If you don't understand an instruction, say so — the assessor can repeat it, though they can't coach you on how to skipper once the assessment has started. You'll get feedback at the end regardless of the result, which is genuinely useful for improving your skippering. You can use a vessel supplied by your assessor, or your own registered recreational vessel, provided it complies with the WA Marine Act 1982 and can perform all the required tasks.",,1
